entry_id,evidence_status,cohort_id,model,fit_period,chronology,market_quote_timing,n,log_loss,brier,baseline_entry_id,log_loss_delta_vs_baseline,market_reference_entry_id,incremental_log_loss_delta_vs_market,conditional_event_interval_2_5,conditional_event_interval_97_5,metric_source_path,metric_source_sha256,detail_source_path,detail_source_sha256,notes
MULTI01-rank_points_logistic,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,rank points logistic,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6218176868859027,0.21645569758903693,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-serve_return_logistic,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,serve return logistic,Annual refit on preceding five years; fixed settings,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6235085013437464,0.21762232458361663,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI01-constant_0_5,independently_reviewed_developmental_benchmark,MULTI01-PRIMARY-PINNACLE-2012-2024-31021,constant 0 5,No fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31021,0.6931471805599453,0.25,,,,,,,experiments/runs/MULTI01/attempt_001/metrics.csv,f8fab8fed6e58e92b3f9838095dde88717bddb9025d23e0dc5c148dcd5f80aeb,,,
MULTI02-SELECTED-CAL,exposed_developmental_past_selected_followup,MULTI02-PRIMARY-PINNACLE-2017-2024-18903,Past-selected market calibration control,Annual three-year fit; lambda selected from three earlier year-ahead validations,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5872795009095364,0.2020800122119655,MULTI02-PS-CAL,-2.140813393891605e-06,,,,,experiments/runs/MULTI02/attempt_001/metrics.csv,4ef3e65fc2b26525f8bb34e981adbb768953d0bd4dd97fdadfed0511acad8498,experiments/runs/MULTI02/attempt_001/primary_summary.json,468627bc82ea54b9453aa39ee42c4b2863104a25f48b6cbe5c82ae7882f364a2,Selection is past-only within each evaluation year. The displayed baseline delta is pooled and is not the registered equal-season primary estimand.
MULTI02-SELECTED-FULL,exposed_developmental_past_selected_followup,MULTI02-PRIMARY-PINNACLE-2017-2024-18903,Past-selected 11-residual market-anchored ensemble,Annual three-year fit; lambda selected from three earlier year-ahead validations,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5869302478589153,0.20197905368007227,MULTI02-SELECTED-CAL,-0.0003492530506210567,MULTI02-PS-CAL,-0.0003513938640149483,,,experiments/runs/MULTI02/attempt_001/metrics.csv,4ef3e65fc2b26525f8bb34e981adbb768953d0bd4dd97fdadfed0511acad8498,experiments/runs/MULTI02/attempt_001/primary_summary.json,468627bc82ea54b9453aa39ee42c4b2863104a25f48b6cbe5c82ae7882f364a2,"Primary equal-season delta -0.000418665; 6/8 seasons improve; approximate t7 95% interval [-0.000925844, +0.000088514] crosses zero. Secondary equal-season deltas are -0.000420559 versus unchanged calibrated Pinnacle and -0.000417435 versus raw normalized Pinnacle. Exposed development; no holdout or economic-value claim."
MULTI02-PS-CAL,exposed_developmental_past_selected_followup,MULTI02-PRIMARY-PINNACLE-2017-2024-18903,Unchanged MULTI01 calibrated Pinnacle,Frozen MULTI01 year-ahead calibration; no MULTI02 refit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5872816417229303,0.20208062949490513,,,,,,,experiments/runs/MULTI02/attempt_001/metrics.csv,4ef3e65fc2b26525f8bb34e981adbb768953d0bd4dd97fdadfed0511acad8498,experiments/runs/MULTI02/attempt_001/primary_summary.json,468627bc82ea54b9453aa39ee42c4b2863104a25f48b6cbe5c82ae7882f364a2,
MULTI02-PS-RAW,exposed_developmental_past_selected_followup,MULTI02-PRIMARY-PINNACLE-2017-2024-18903,Unchanged raw normalized Pinnacle,No fit; frozen MULTI01 annual proxy,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.587278103678432,0.20205984645708122,,,,,,,experiments/runs/MULTI02/attempt_001/metrics.csv,4ef3e65fc2b26525f8bb34e981adbb768953d0bd4dd97fdadfed0511acad8498,experiments/runs/MULTI02/attempt_001/primary_summary.json,468627bc82ea54b9453aa39ee42c4b2863104a25f48b6cbe5c82ae7882f364a2,
MULTI03-FULL,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Selected original joint features (exact market fallback in 8/8 years),Original five-year fits; penalty selected on three prior validation seasons,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5872816417229303,0.2020806294949051,MULTI03-CONTROL,-9.659500686176603e-05,MULTI03-PS-CAL,0.0,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,"Primary equal-season full-minus-control delta -0.000145754, approximate t7 interval [-0.000401628,+0.000110120]. Full equals unchanged calibrated market; no new sports information. Final manifest recovered after a path-formatting error; no refits or rescoring."
MULTI03-CONTROL,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Selected calibration-only control,Original five-year fits; penalty selected on three prior validation seasons,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5873782367297921,0.20210529118293877,,,MULTI03-PS-CAL,9.659500686176603e-05,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,
MULTI03-PS-CAL,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Unchanged calibrated Pinnacle,Frozen prior procedure; matched cohort,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5872816417229303,0.2020806294949051,,,,,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,
MULTI03-PS-RAW,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Unchanged raw normalized Pinnacle,Frozen prior procedure; matched cohort,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.587278103678432,0.20205984645708122,,,,,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,
MULTI03-C1-FULL,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Original fixed C1 joint augmentation,Frozen prior procedure; matched cohort,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.593931408446577,0.20395667104972237,,,MULTI03-PS-CAL,0.0066497667236466995,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,
MULTI03-M2-FULL,exposed_developmental_past_selected_regularization,MULTI03-PRIMARY-PINNACLE-2017-2024-18903,Unchanged MULTI02 selected compact ensemble,Frozen prior procedure; matched cohort,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18903,0.5869302478589155,0.20197905368007224,,,MULTI03-PS-CAL,-0.0003513938640148373,,,experiments/runs/MULTI03/attempt_001/metrics.csv,89a79435518f625dc0f38133dbfa9b64f1e032407ee882cd2e6d4c9d94f8604f,experiments/runs/MULTI03/attempt_001/primary_summary.json,abbe39dbf7425f7021b824d811a23df1261bb0b6eaf28e01ee9271e2654ad89d,
SR02-MKT-CAL,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Past-selected market calibration,Annual past-only market calibration/augmentation,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18882,0.5873039968174438,0.202089904108087,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-MKT-LEGACY-CAL,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Unchanged MULTI01 calibrated Pinnacle,Frozen prior procedure; matched cohort,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18882,0.5872569823567267,0.20207014746840457,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-MKT-DYNAMIC-AUG,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Market calibration plus dynamic serve/return,Annual past-only market calibration/augmentation,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18882,0.5873100465871596,0.2020916721236441,,,SR02-MKT-CAL,6.049769715743558e-06,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,experiments/runs/SR02/market_attempt_002/comparisons.json,10cf22cebf773a66495a3a34dc19f5053381efd63f133001ca7620ed7a9b63e6,"The table delta is the match-weighted dynamic-augmentation-minus-market-calibration log-loss delta. The registered equal-season delta is +0.00000558494; its approximate across-year t95 interval [-0.00000250212, +0.00001367201] spans zero. The equal-season fixed-fit event-bootstrap interval is [-1.0217413975455226e-05, 2.2603415812298998e-05]; it does not describe the table's match-weighted delta. No measured market-information gain or economic-value claim."
SR02-MKT-UNADJUSTED-AUG,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Market calibration plus unadjusted serve/return,Annual past-only market calibration/augmentation,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18882,0.5873075632641332,0.20209160167609083,,,SR02-MKT-CAL,3.566446689418079e-06,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-MKT-PS-RAW,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Raw normalized Pinnacle,No fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,18882,0.5872532499356297,0.20204938850286966,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-MKT-DYNAMIC,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Dynamic serve/return,Selected point-history procedure; no market fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,18882,0.6306286348368404,0.2171299252825219,SR02-MKT-UNADJUSTED,-0.006509233105461143,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-MKT-UNADJUSTED,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-PINNACLE-2017-2024-18882,Unadjusted serve/return,Selected point-history procedure; no market fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,18882,0.6371378679423015,0.22340296336303062,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-SPORTS-DYNAMIC,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-SPORTS-2012-2024-31097,Dynamic serve/return,Selected point-history procedure; rule-aware match conversion,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31097,0.6160866535116507,0.21121909415238196,SR02-SPORTS-UNADJUSTED,-0.009892926884219388,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,experiments/runs/SR02/market_attempt_002/comparisons.json,10cf22cebf773a66495a3a34dc19f5053381efd63f133001ca7620ed7a9b63e6,"Dynamic-minus-unadjusted match-weighted log-loss delta -0.009892927; equal-season delta -0.009434665. The equal-season fixed-fit event-bootstrap interval is [-0.013273226270632871, -0.005280600598389325]; it does not describe the table's match-weighted delta. This establishes improvement over the named unadjusted control on this cohort, not best overall performance or incremental information beyond market prices."
SR02-SPORTS-UNADJUSTED,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-SPORTS-2012-2024-31097,Unadjusted serve/return,Selected point-history procedure; rule-aware match conversion,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31097,0.6259795803958701,0.21864207282338094,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR02-SPORTS-SIMPLE,developmental result; independently recomputed with limits,SR02-C1-PRIMARY-SPORTS-2012-2024-31097,Simple unadjusted serve/return,Selected point-history procedure; rule-aware match conversion,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,31097,0.6336107382996383,0.22161568055719172,,,,,,,experiments/runs/SR02/market_attempt_002/metrics.csv,7ad34db163f6794cce0acaf8d236f03be294d0e34c7fa51fe13651c1160f919f,,,
SR03-SPORTS-raw_dynamic,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,raw dynamic,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.62145833978285,0.21335470288218397,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-SPORTS-calibrated_dynamic,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,calibrated dynamic,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.6048006441006439,0.2092868812552889,SR03-SPORTS-raw_dynamic,-0.016657695682206097,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,experiments/runs/SR03/attempt_001/comparisons.json,a5323a515742c166f6143428a984ad011562d82f9d22bd89c833d2cb273acd2c,"Equal-year difference -0.016845856; equal-year fixed-fit event bootstrap [-0.01978269737590025, -0.013990247078076177]. This interval does not describe the table's match-weighted delta. Future labels are excluded by fit-local indexing, not physical inaccessibility."
SR03-SPORTS-raw_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,raw unadjusted,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.6300302207785053,0.22026487896158956,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-SPORTS-calibrated_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,calibrated unadjusted,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.627422782060001,0.21936699185338285,SR03-SPORTS-raw_unadjusted,-0.002607438718504329,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-SPORTS-raw_simple_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,raw simple unadjusted,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.6364674280447133,0.22291334311874147,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-SPORTS-calibrated_simple_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-SPORTS-2014-2024-26149,calibrated simple unadjusted,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26149,0.6274067619299311,0.21936960105731446,SR03-SPORTS-raw_simple_unadjusted,-0.00906066611478229,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-raw_dynamic,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,raw dynamic,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.6213706144215356,0.21331619741981034,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-calibrated_dynamic,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,calibrated dynamic,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.6047727343385146,0.20926089446268673,SR03-MKT-raw_dynamic,-0.01659788008302099,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-raw_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,raw unadjusted,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.629897987983592,0.22019557985694177,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-calibrated_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,calibrated unadjusted,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.6273348676081671,0.21931453725758218,SR03-MKT-raw_unadjusted,-0.002563120375424832,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-raw_simple_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,raw simple unadjusted,Frozen SR02 forecast,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.636430745163235,0.22288925372014584,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-calibrated_simple_unadjusted,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,calibrated simple unadjusted,Preceding three-year scalar slope,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,26035,0.627319694465003,0.21931817035871312,SR03-MKT-raw_simple_unadjusted,-0.009111050698231926,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
SR03-MKT-pinnacle_raw_normalized,independently_reviewed_exposed_calibration,SR03-PRIMARY-PINNACLE-2014-2024-26035,pinnacle raw normalized,No fit,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,annual latest preplay proxy; exact quote time and historical availability unknown,26035,0.5793395762968683,0.1985598273116031,,,,,,,experiments/runs/SR03/attempt_001/metrics.csv,a80d6398c32c2b40fac43bbdacb0b52fcd2034b513dcd152a676b351f335ee8d,,,
JOINT04-SPORTS-selected_hgb_base,independently_reviewed_exposed_joint_benchmark,JOINT04-PRIMARY-SPORTS-2017-2024-18972,selected hgb base,Earlier annual fits; three past years for selection/calibration,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,18972,0.6122077823099868,0.212683301070924,,,,,,,experiments/runs/JOINT04/report_attempt_001/pooled_metrics.csv,5142e81fab8bce1c2d74820e838ca7c27a3707a2a56373b109cd74c094550e14,experiments/runs/JOINT04/report_attempt_001/primary.json,d4e6c52feafe6797c881c056cc813e87225b603068602a78b23c5be0581bfed9,All displayed metrics and deltas are match-weighted; the registered primary uses equal-year weighting.
JOINT04-SPORTS-selected_hgb_dynamic,independently_reviewed_exposed_joint_benchmark,JOINT04-PRIMARY-SPORTS-2017-2024-18972,selected hgb dynamic,Earlier annual fits; three past years for selection/calibration,reported calendar match dates without clocks; result eligibility D-2; same-date batches frozen,,18972,0.608563890071534,0.21100501848684383,JOINT04-SPORTS-selected_hgb_base,-0.0036438922384528505,,,,,experiments/runs/JOINT04/report_attempt_001/pooled_metrics.csv,5142e81fab8bce1c2d74820e838ca7c27a3707a2a56373b109cd74c094550e14,experiments/runs/JOINT04/report_attempt_001/primary.json,d4e6c52feafe6797c881c056cc813e87225b603068602a78b23c5be0581bfed9,All displayed metrics and deltas are match-weighted; the registered primary uses equal-year weighting.
